lat,lon,rainRate
14.7,107.7,41.0820633173
14.7,107.8,43.0480407178
14.7,107.9,38.9159936299
14.7,108.0,33.5621902802
14.7,108.1,39.7139301043
14.7,108.2,35.2285365389
14.7,108.3,29.7810861022
14.7,108.4,33.2144524049
14.7,108.5,18.1655703387
14.7,108.6,20.5987242758
14.7,108.7,19.8227140903
14.7,108.8,18.6291350126
14.7,108.9,25.6455262006
14.7,109.0,29.2984582186
14.8,107.0,63.1168684958
14.8,107.1,57.852665484
14.8,107.2,69.2335442753
14.8,107.3,70.111923024
14.8,107.4,75.9977916331
14.8,107.5,74.6646126691
14.8,107.6,88.2305014116
14.8,107.7,89.6455991863
14.8,107.8,100.792307306
14.8,107.9,95.647652909
14.8,108.0,78.237789005
14.8,108.1,66.5318572819
14.8,108.2,44.9332603366
14.8,108.3,37.5222107916
14.8,108.4,29.6722920835
14.8,108.5,30.7405869943
14.8,108.6,30.5360514912
14.8,108.7,24.9980452778
14.8,108.8,27.5524935386
14.8,108.9,39.3077266999
14.8,109.0,43.1818948445
14.9,107.0,51.3475496246
14.9,107.1,57.3015367315
14.9,107.2,55.4276518123
14.9,107.3,68.6685384341
14.9,107.4,67.6029191273
14.9,107.5,66.6748245432
14.9,107.6,64.6905863174
14.9,107.7,67.2156106531
14.9,107.8,67.3224856853
14.9,107.9,69.608362913
14.9,108.0,67.2920104042
14.9,108.1,59.9292494952
14.9,108.2,76.5177378058
14.9,108.3,77.0546458997
14.9,108.4,83.514111355
14.9,108.5,85.5620253235
14.9,108.6,88.7818606944
14.9,108.7,95.7740123249
14.9,108.8,98.5427076816
14.9,108.9,77.0720193386
14.9,109.0,72.4389070272
15.0,107.0,9.55505099148
15.0,107.1,13.679278356
15.0,107.2,23.4383173585
15.0,107.3,16.2626646012
15.0,107.4,18.6969030798
15.0,107.5,13.5867826044
15.0,107.6,14.1206211224
15.0,107.7,13.377888456
15.0,107.8,10.2733675092
15.0,107.9,15.413783323
15.0,108.0,19.7146808831
15.0,108.1,36.1295172125
15.0,108.2,45.2093013749
15.0,108.3,39.1318656653
15.0,108.4,46.3860931992
15.0,108.5,55.6828556434
15.0,108.6,56.5377901644
15.0,108.7,55.0275030434
15.0,108.8,57.744701665
15.0,108.9,51.7661563531
15.0,109.0,54.0258525499
15.1,107.0,7.88924694994
15.1,107.1,5.48623886705
15.1,107.2,10.5114396927
15.1,107.3,14.5884593823
15.1,107.4,22.9407494674
15.1,107.5,17.1713810326
15.1,107.6,18.2616934106
15.1,107.7,31.6996082402
15.1,107.8,28.8124010861
15.1,107.9,35.094901571
15.1,108.0,26.9928571546
15.1,108.1,27.9143418408
15.1,108.2,28.489469167
15.1,108.3,19.0825466069
15.1,108.4,23.2773640794
15.1,108.5,23.4322788608
15.1,108.6,16.7372467518
15.1,108.7,14.4902700707
15.1,108.8,18.8416983783
15.1,108.9,18.3430810198
15.1,109.0,14.3069175705
15.2,107.0,20.4111237824
15.2,107.1,19.3179371953
15.2,107.2,21.194167234
15.2,107.3,20.7453306913
15.2,107.4,4.50394376018
15.2,107.5,1.19086536113
15.2,107.6,0.616525059566
15.2,107.7,2.63195253444
15.2,107.8,3.12143386015
15.2,107.9,22.8199819922
15.2,108.0,11.1387288901
15.2,108.1,6.00003262517
15.2,108.2,8.09625161904
15.2,108.3,7.88425733148
15.2,108.4,0.919039741159
15.2,108.5,6.58129955827
15.2,108.6,6.81366714835
15.2,108.7,5.99979241937
15.2,108.8,11.9240682386
15.2,108.9,19.0813296474
